system:index,Aspect,Curvature,Elevation,Extent,Geology,Name,Slope,b1,descriptio,layer,.geo
00000000000000000096_0,118.95626916,-6.6862180056E7,2997.2036947,Sikkim,GHS paro,Debris flow,35.596933577,1596.4795755796658,2010,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10227149002208,27.376158283542416]}"
00000000000000000097_0,142.27357229,2393411.5556,4059.5092231,Sikkim,GHS paro,Debris flow,43.655657874,1538.017554666374,2010,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10227149002208,27.42107404774839]}"
00000000000000000098_0,184.01807997,1.0063650667E7,3943.0833062,Sikkim,GHS paro,Debris flow,33.323113547,1561.8690130208706,2010,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10227149002208,27.46598981195437]}"
00000000000000000099_0,142.85241191,-2.4976031944E7,3921.8178711,Sikkim,GHS paro,Debris flow,36.590758642,1561.8690130208706,2010,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10227149002208,27.46598981195437]}"
0000000000000000009a_0,179.45042759,2.4707729056E7,3914.2406955,Sikkim,GHS paro,Debris flow,37.475738525,1561.8690130208706,"Definite 
Active",Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.14718725422804,27.46598981195437]}"
0000000000000000009b_0,195.96568468,-7.9408443333E7,3675.1142307,Sikkim,GHS paro,Debris flow,25.701721191,1426.7451076871766,"Definite
Active",Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.23701878263999,27.46598981195437]}"
0000000000000000009c_0,322.54821099,3.3172204622E8,3703.2314724,Sikkim,GHS paro,Debris flow,46.054512872,823.2533040361304,Earliest image 11/24/2007,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.42107404774839]}"
0000000000000000009d_0,100.98441145,1.1492699867E8,3326.8055827,Sikkim,GHS paro,Debris flow,34.329881032,934.829704351956,Image 1/20/2015,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68617642469975,27.42107404774839]}"
0000000000000000009e_0,170.40501912,-1.1119671610999998E8,3496.6882867,Sikkim,GHS paro,Debris flow,38.664650175,934.829704351956,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68617642469975,27.42107404774839]}"
0000000000000000009f_0,327.28834025,1.2234659989E8,3494.1172689,Sikkim,GHS paro,Debris flow,25.167319616,934.829704351956,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68617642469975,27.42107404774839]}"
000000000000000000a0_0,314.87548828,2.4777373244E8,3335.0709907,Sikkim,GHS paro,Debris flow,36.932959874,934.829704351956,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68617642469975,27.42107404774839]}"
000000000000000000a1_0,119.86861102,3140796.4444,3444.1265734,Sikkim,GHS paro,Debris flow,39.428035736,823.2533040361304,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.42107404774839]}"
000000000000000000a2_0,217.02722677,5.0554040444E7,4257.6265191,Sikkim,GHS paro,Debris flow,18.456981023,1516.7048292654144,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.0573557258161,27.46598981195437]}"
000000000000000000a3_0,24.931606081,-1.97332012E8,4419.4814996,Sikkim,GHS paro,Debris flow,44.364261203,1516.7048292654144,Active,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.0573557258161,27.46598981195437]}"
000000000000000000a4_0,120.93289778,-2.0617848889E7,3033.9969076,Sikkim,GHS paro,Debris flow,50.503912184,1464.5996394510767,2015,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.28193454684597,27.42107404774839]}"
000000000000000000a5_0,159.46853299,-1.43593732E8,2183.3950467,Sikkim,GHS paro,Debris flow,55.941456689,873.8270928780839,2012,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68617642469975,27.46598981195437]}"
000000000000000000b1_0,174.62932671,-6697967.0,1285.5123291,Sikkim,LHS,Debris flow,41.74630483,1727.5028963617515,2009,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.28193454684597,27.19649522671851]}"
000000000000000000b2_0,153.29155138,-9.6142108778E7,1422.3302409,Sikkim,LHS,Debris flow,51.036560059,1700.1232972431899,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.37176607525792,27.19649522671851]}"
000000000000000000b3_0,163.50706821,2.9080428356E8,3600.0771484,Sikkim,Lingtse,Debris flow,42.453251521,988.1377073153853,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.64126066049378,27.46598981195437]}"
000000000000000000b4_0,135.66286892,1.1893653111E7,2013.4814996,Sikkim,Lingtse,Debris flow,49.989150577,1075.5779467665998,2012,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.64126066049378,27.42107404774839]}"
000000000000000000b5_0,131.99617852,1.1546412844E8,1990.8549262,,GHS paro,Debris flow,31.94802263,1389.7380377609952,Image 10/5/2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.19649522671851]}"
000000000000000000b6_0,161.06774055,-1.0927246489E8,3792.888916,,GHS paro,Debris flow,40.624218835,1020.9094353788532,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.91075524572963,27.286326755130464]}"
000000000000000000b7_0,80.266125149,1.9324261422E8,1987.4136149,,GHS paro,Debris flow,38.200247659,1389.7380377609952,Image 10/5/2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.19649522671851]}"
00000000000000000026_0,253.45216031,-5.2108742667E7,3609.3271484,East Sikkim,GHS paro,Debris flow?,24.434056388,1020.9094353788532,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.91075524572963,27.286326755130464]}"
0000000000000000002d_0,215.46376885,9.4864791111E7,3130.9814724,East Sikkim,GHS paro,Debris flow?,48.248081631,1337.011633966118,Image 10/5/2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.286326755130464]}"
0000000000000000002f_0,146.89472792,1.2542040689E8,2369.8827311,East Sikkim,GHS paro,Debris flow?,31.169343101,1396.093931099731,Image 1/16/2010,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.241410990924486]}"
00000000000000000087_0,162.36072032,-1.8512416178E8,1509.9413656,Sikkim,LHS Daling,Debris slide-flow,26.469086965,1485.1020229996648,2005,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.32685031105196,27.376158283542416]}"
00000000000000000004_0,85.423542447,5733764.0885,1387.90743,Gangtok basin,LHS Daling,Debris flow,29.063779619,1267.5643579715397,2017,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.64126066049378,27.33124251933644]}"
00000000000000000049_0,128.66777378,-4.8373276333E7,1995.1851942,East Sikkim,GHS paro,Debris flow,57.09408866,1114.7355926985038,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.33124251933644]}"
0000000000000000004a_0,117.67429352,2.4839995556E8,1992.7191569,East Sikkim,GHS paro,Debris flow,53.379837884,1221.3422770208854,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.286326755130464]}"
0000000000000000004b_0,135.10415904,5.2229090889E7,1846.0216064,East Sikkim,GHS paro,Debris flow,37.232785967,1221.3422770208854,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.286326755130464]}"
0000000000000000004c_0,103.19099087,-2.5962449778E8,1827.8456896,East Sikkim,GHS paro,Debris flow,63.999013689,1221.3422770208854,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.286326755130464]}"
0000000000000000004d_0,188.09582689,1.923973965E8,2924.9536947,East Sikkim,GHS paro,Debris flow,45.82308197,1407.6649284321866,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.241410990924486]}"
0000000000000000004e_0,118.3053894,6257655.1111,2065.9814996,East Sikkim,GHS paro,Debris flow,56.893426683,1221.3422770208854,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.286326755130464]}"
0000000000000000004f_0,108.15418582,2.6667860711E8,2005.4629991,East Sikkim,GHS paro,Debris flow,50.535063426,1221.3422770208854,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.286326755130464]}"
00000000000000000050_0,108.4813953,-2.0829811022E8,1899.6882731,East Sikkim,GHS paro,Debris flow,41.841490852,1221.3422770208854,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.286326755130464]}"
00000000000000000051_0,96.318543328,1.9298975089E8,2027.4383138,East Sikkim,GHS paro,Debris flow,47.78560808,1221.3422770208854,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.286326755130464]}"
00000000000000000052_0,121.69872369,-4.7710854222E7,2049.6296522,East Sikkim,GHS paro,Debris flow,57.86491055,1221.3422770208854,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.286326755130464]}"
00000000000000000053_0,107.20350732,-1.7975701333E7,1962.6481527,East Sikkim,GHS paro,Debris flow,52.558352576,1114.7355926985038,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.33124251933644]}"
00000000000000000054_0,300.61964586,2.8230657778E7,2371.6419542,East Sikkim,GHS paro,Debris flow,45.030774858,1221.3422770208854,2011,Debrisflow Discussed with Claire,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.286326755130464]}"
0000000000000000005c_0,183.10639275,2.0783652789E8,4615.6975911,East Sikkim,GHS paro,Debris flow,25.289329105,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
0000000000000000005e_0,157.95101081,3.7954517667E7,4533.0895725,East Sikkim,GHS paro,Debris flow,32.941436344,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
00000000000000000062_0,192.70278761,5.9395754667E7,4649.8580187,East Sikkim,GHS paro,Debris flow,37.908235338,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
00000000000000000063_0,200.93922594,-596709.3333300002,4624.66352,East Sikkim,GHS paro,Debris flow,34.989842733,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
00000000000000000064_0,229.83143785,1.5162578178E8,4649.160536,East Sikkim,GHS paro,Debris flow,29.017332501,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
00000000000000000069_0,162.90853373,-2.7643373986E7,4468.7160916,East Sikkim,GHS paro,Debris flow,25.012851715,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
0000000000000000006a_0,151.89782206,1.1805917244E8,4440.7190755,East Sikkim,GHS paro,Debris flow,36.452281104,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
0000000000000000006b_0,296.99116855,1.3271464633E8,4504.1017795,East Sikkim,GHS paro,Debris flow,38.298570633,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
0000000000000000006c_0,267.88892365,3.6800815289E8,4600.3950195,East Sikkim,GHS paro,Debris flow,28.892326037,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
0000000000000000006d_0,308.83096653,3.7278244111E7,4549.3734266,East Sikkim,GHS paro,Debris flow,27.926974932,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
0000000000000000006f_0,42.761819919,5.6005802556E7,4562.9845378,East Sikkim,GHS paro,Debris flow,39.532224019,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000072_0,263.85192193,1.9236274258E8,4402.3425564,East Sikkim,GHS paro,Debris flow,24.15366141,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000073_0,180.58992513,3.6000154444E7,4378.3828668,East Sikkim,GHS paro,Debris flow,31.535400179,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000074_0,199.3560418,6.2487547778E7,4295.5463325,East Sikkim,GHS paro,Debris flow,41.066450119,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000076_0,274.17293125,2.6685874311E8,4356.8272027,East Sikkim,GHS paro,Debris flow,35.517037921,895.7142412953399,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.376158283542416]}"
00000000000000000078_0,329.37999471,9.5295078444E7,4138.6789822,East Sikkim,GHS paro,Debris flow,23.018336826,847.0706128914608,image 10/19/2017,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.86583948152366,27.376158283542416]}"
0000000000000000007b_0,222.36064826,1.5085743444E8,4590.8024089,East Sikkim,GHS paro,Debris flow,40.400945028,847.0706128914608,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.86583948152366,27.376158283542416]}"
0000000000000000007c_0,295.70233832,-5.0730655806E7,4272.4197049,East Sikkim,GHS paro,Debris flow,40.101439582,1024.3229009045754,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.86583948152366,27.33124251933644]}"
00000000000000000055_0,101.14254761,1.1790118644E8,4132.8796658,East Sikkim,GHS paro,Rock fall,14.54743433,1024.3229009045754,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.86583948152366,27.33124251933644]}"
00000000000000000056_0,304.34316678,2.8516379556E7,4370.1265734,East Sikkim,GHS paro,Rock fall,30.432483461,783.4101187846318,image 10/18/2017,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000057_0,334.25257365,9.9248861778E7,4582.8148329,East Sikkim,GHS paro,Rock fall,34.650342941,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
00000000000000000058_0,325.66144138,1.4737625511E8,4594.7222765,East Sikkim,GHS paro,Rock fall,28.523429977,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
00000000000000000059_0,310.79803467,8.9942385778E7,4601.6142036,East Sikkim,GHS paro,Rock fall,30.773349126,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
0000000000000000005a_0,270.9704149,2.4782300844E8,4494.4907769,East Sikkim,GHS paro,Rock fall,47.129038917,860.7224581009941,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.376158283542416]}"
0000000000000000005b_0,99.006627401,7.8780589111E7,4483.175944,East Sikkim,GHS paro,Rock fall,35.678927528,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
00000000000000000060_0,302.03416951,2.8905876444E8,4642.5863715,East Sikkim,GHS paro,Rock fall,33.211696413,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
00000000000000000061_0,309.24114312,8333370.7222,4603.0,East Sikkim,GHS paro,Rock fall,43.280948215,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
00000000000000000065_0,229.46404351,8.7585783556E7,4511.8580729,East Sikkim,GHS paro,Rock fall,25.92536672,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000066_0,230.83790419,4.1175332333E7,4516.8302951,East Sikkim,GHS paro,Rock fall,34.367727704,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000067_0,232.31161329,1.4857930819E7,4512.5617405,East Sikkim,GHS paro,Rock fall,39.726336585,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000068_0,226.71680535,8.0584747472E7,4521.2407227,East Sikkim,GHS paro,Rock fall,38.658762614,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
0000000000000000006e_0,115.11593776,1.6032978778E8,4530.4290365,East Sikkim,GHS paro,Rock fall,34.8011979,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000070_0,246.32598792,2.1139886489E8,4399.3549805,East Sikkim,GHS paro,Rock fall,39.422789256,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000071_0,318.59216309,6.4902856E7,4363.8055013,East Sikkim,GHS paro,Rock fall,44.323433346,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000075_0,279.95441013,-5.3360038222E7,4288.7840169,East Sikkim,GHS paro,Rock fall,37.504195743,895.7142412953399,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.376158283542416]}"
0000000000000000007a_0,262.91352844,-1571584.0,4433.0371094,East Sikkim,GHS paro,Rock fall,33.970764584,847.0706128914608,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.86583948152366,27.376158283542416]}"
0000000000000000007e_0,209.40326267,7.1175740667E7,4577.2068142,East Sikkim,GHS paro,Rock fall,33.451516469,751.099372977158,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
000000000000000000a6_0,198.33933004,2.0137149111E7,4534.3580729,Sikkim,GHS paro,Rock fall,36.556987339,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
000000000000000000a7_0,241.59060838,1.9908344267E8,4415.398112,Sikkim,GHS paro,Rock fall,32.310852051,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
000000000000000000a8_0,256.52471415,4.5309569111E7,4487.7838542,Sikkim,GHS paro,Rock fall,36.255406698,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
000000000000000000a9_0,227.76804267,-6.5603982444E7,4541.1697591,Sikkim,GHS paro,Rock fall,37.08942922,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
000000000000000000aa_0,262.26807658,2.4650542178E8,4558.8179253,Sikkim,GHS paro,Rock fall,28.998467551,783.4101187846318,,Highlands_slides Highlands,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
